analysis_neighborhood,year,total_crime,violent_crime,property_crime,total_units,median_value,parcel_count,pct_residential,log_median_value,density,population,pop_white,pop_hispanic,pop_black,pop_asian,median_hh_income,log_income,crime_rate,violent_rate,property_rate,pct_white,pct_hispanic,pct_black,pct_asian,in_hospitality_zone
Lakeshore,2019,1803,113,1136,3611.0,1109571.0,490.0,0.8612244897959184,13.919484012096879,7.369387755102041,12019.0,20978.0,65500.0,4823.0,21098.0,,,150.0124802396206,9.401780514185873,94.51701472668275,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2020,1208,97,687,3611.0,1153869.0,489.0,0.8629856850715747,13.95863120140893,7.384458077709612,12019.0,20978.0,65500.0,4823.0,21098.0,,,100.5075297445711,8.07055495465513,57.159497462351275,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2021,1516,142,854,3611.0,1181000.0,489.0,0.8629856850715747,13.981872095179499,7.384458077709612,12019.0,20978.0,65500.0,4823.0,21098.0,,,126.13362176553791,11.814626840835343,71.05416423995341,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2022,1914,99,1264,3611.0,1224655.0,488.0,0.8647540983606558,14.01816972964198,7.399590163934426,12019.0,20978.0,65500.0,4823.0,21098.0,,,159.24785755886515,8.236958149596472,105.16681920292869,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lakeshore,2023,1925,152,1176,3611.0,1256204.0,488.0,0.8647540983606558,14.043605033203685,7.399590163934426,12019.0,20978.0,65500.0,4823.0,21098.0,,,160.16307513104252,12.646642815542059,97.8450786255096,1.7454031117397455,5.449704634328979,0.4012813046010483,1.755387303436226,0
Lincoln Park,2018,153,1,117,60.0,557921.0,41.0,1.0,13.231972654279538,1.4634146341463414,179.0,0.0,105.0,0.0,105.0,,,854.7486033519554,5.58659217877095,653.6312849162011,0.0,0.5865921787709497,0.0,0.5865921787709497,0
Lincoln Park,2019,210,3,170,60.0,628981.0,41.0,1.0,13.351856328549081,1.4634146341463414,179.0,0.0,105.0,0.0,105.0,,,1173.1843575418993,16.75977653631285,949.7206703910615,0.0,0.5865921787709497,0.0,0.5865921787709497,0
Lincoln Park,2020,184,4,139,60.0,699214.0,41.0,1.0,13.457712126006303,1.4634146341463414,179.0,0.0,105.0,0.0,105.0,,,1027.9329608938547,22.3463687150838,776.5363128491621,0.0,0.5865921787709497,0.0,0.5865921787709497,0
Lincoln Park,2021,294,9,227,60.0,706457.0,41.0,1.0,13.468017615843285,1.4634146341463414,179.0,0.0,105.0,0.0,105.0,,,1642.4581005586592,50.27932960893855,1268.1564245810055,0.0,0.5865921787709497,0.0,0.5865921787709497,0
Lincoln Park,2022,213,6,175,58.0,729121.0,42.0,1.0,13.499594978013118,1.380952380952381,179.0,0.0,105.0,0.0,105.0,,,1189.9441340782123,33.5195530726257,977.6536312849162,0.0,0.5865921787709497,0.0,0.5865921787709497,0
Lincoln Park,2023,268,4,229,58.0,861178.5,42.0,1.0,13.666057078995824,1.380952380952381,179.0,0.0,105.0,0.0,105.0,,,1497.2067039106146,22.3463687150838,1279.3296089385476,0.0,0.5865921787709497,0.0,0.5865921787709497,0
Lone Mountain/Usf,2018,1715,114,868,5818.0,666514.0,3292.0,0.9620291616038882,13.409816423631606,1.767314702308627,16387.0,43954.0,82062.0,3787.0,18171.0,,,104.65612985903459,6.956733996460609,52.96881674498078,2.6822481235125406,5.007750045767986,0.23109782144382743,1.108866784646366,0
Lone Mountain/Usf,2019,1581,69,863,5812.0,703028.0,3301.0,0.9621326870645259,13.463151999302623,1.7606785822478037,16387.0,43954.0,82062.0,3787.0,18171.0,,,96.47891621407213,4.210654787331421,52.663696832855315,2.6822481235125406,5.007750045767986,0.23109782144382743,1.108866784646366,0
Lone Mountain/Usf,2020,1529,82,1027,5797.0,736433.0,3318.0,0.9620253164556962,13.509573539938852,1.7471368294153105,16387.0,43954.0,82062.0,3787.0,18171.0,,,93.30566912796729,5.0039665588576305,62.671629950570576,2.6822481235125406,5.007750045767986,0.23109782144382743,1.108866784646366,0
Lone Mountain/Usf,2021,1364,69,811,5772.0,769340.0,3337.0,0.9622415343122566,13.553288283415737,1.7296973329337728,16387.0,43954.0,82062.0,3787.0,18171.0,,,83.23671202782694,4.210654787331421,49.49044974675047,2.6822481235125406,5.007750045767986,0.23109782144382743,1.108866784646366,0
Lone Mountain/Usf,2022,1411,90,859,5762.0,808775.0,3352.0,0.9630071599045346,13.603276036220567,1.7189737470167064,16387.0,43954.0,82062.0,3787.0,18171.0,,,86.10483920180631,5.492158418258375,52.41960090315494,2.6822481235125406,5.007750045767986,0.23109782144382743,1.108866784646366,0
Lone Mountain/Usf,2023,1553,120,870,5755.0,852168.0,3355.0,0.9639344262295082,13.655538969472012,1.7153502235469449,16387.0,43954.0,82062.0,3787.0,18171.0,,,94.77024470616954,7.322877891011167,53.09086470983097,2.6822481235125406,5.007750045767986,0.23109782144382743,1.108866784646366,0
Marina,2018,3043,152,2076,15966.0,976365.0,5706.0,0.942341395022783,13.791591770893692,2.7981072555205047,23733.0,92969.0,121697.0,0.0,12501.0,158305.77728788042,11.972283741020458,128.21809295074368,6.404584334049636,87.47313866767792,3.917288164159609,5.12775460329499,0.0,0.5267349260523322,0
Marina,2019,3846,133,2692,16014.0,1047750.0,5736.0,0.9422942817294282,13.862155565787319,2.7918410041841004,23733.0,92969.0,121697.0,0.0,12501.0,176478.2809703504,12.080953093791376,162.0528378207559,5.604011292293431,113.42855938987907,3.917288164159609,5.12775460329499,0.0,0.5267349260523322,0
Marina,2020,3610,158,2401,16010.0,1129702.0,5738.0,0.9423143952596723,13.93746443909497,2.7901707912164517,23733.0,92969.0,121697.0,0.0,12501.0,,,152.10887793367883,6.657396873551595,101.16715122403406,3.917288164159609,5.12775460329499,0.0,0.5267349260523322,0
Marina,2021,4341,213,2921,16018.0,1167000.0,5837.0,0.9431214665067672,13.969946911268693,2.744217920164468,23733.0,92969.0,121697.0,0.0,12501.0,,,182.90987232966754,8.974845152319554,123.07757131420385,3.917288164159609,5.12775460329499,0.0,0.5267349260523322,0
Marina,2022,3818,227,2451,16006.0,1261054.0,5877.0,0.9431682831376552,14.047458437186396,2.7234983835290114,23733.0,92969.0,121697.0,0.0,12501.0,,,160.87304596974678,9.564741077824127,103.27392238655038,3.917288164159609,5.12775460329499,0.0,0.5267349260523322,0
Marina,2023,3300,204,2158,16146.0,1331554.0,5883.0,0.9433962264150944,14.101857239177937,2.744518103008669,23733.0,92969.0,121697.0,0.0,12501.0,,,139.04689672607762,8.595626343066616,90.9282433742047,3.917288164159609,5.12775460329499,0.0,0.5267349260523322,0
Mclaren Park,2018,119,12,56,85.0,338077.0,93.0,0.956989247311828,12.731028959171137,0.9139784946236559,155.0,0.0,566.0,0.0,566.0,,,767.741935483871,77.41935483870968,361.2903225806451,0.0,3.6516129032258067,0.0,3.6516129032258067,0
Mclaren Park,2019,159,12,89,85.0,365044.0,93.0,0.956989247311828,12.807773173244515,0.9139784946236559,155.0,0.0,566.0,0.0,566.0,,,1025.8064516129034,77.41935483870968,574.1935483870968,0.0,3.6516129032258067,0.0,3.6516129032258067,0
Mclaren Park,2020,149,22,85,85.0,379698.0,93.0,0.956989247311828,12.847131478889718,0.9139784946236559,155.0,0.0,566.0,0.0,566.0,,,961.2903225806451,141.93548387096774,548.3870967741935,0.0,3.6516129032258067,0.0,3.6516129032258067,0
Mclaren Park,2021,175,20,88,85.0,383666.0,93.0,0.956989247311828,12.85752766141494,0.9139784946236559,155.0,0.0,566.0,0.0,566.0,,,1129.0322580645163,129.03225806451613,567.741935483871,0.0,3.6516129032258067,0.0,3.6516129032258067,0
Mclaren Park,2022,186,28,89,85.0,397186.0,93.0,0.956989247311828,12.892159963804884,0.9139784946236559,155.0,0.0,566.0,0.0,566.0,,,1200.0,180.64516129032256,574.1935483870968,0.0,3.6516129032258067,0.0,3.6516129032258067,0
Mclaren Park,2023,186,24,106,85.0,405129.0,93.0,0.956989247311828,12.911960813890941,0.9139784946236559,155.0,0.0,566.0,0.0,566.0,,,1200.0,154.83870967741936,683.8709677419355,0.0,3.6516129032258067,0.0,3.6516129032258067,0
Mission,2018,16847,1801,6995,22489.0,649028.0,10698.0,0.8638063189381193,13.383231138052963,2.102168629650402,54431.0,115671.0,282593.0,12784.0,42643.0,120080.2382968058,11.6959154507891,309.5111241755617,33.08776248828792,128.51132626628208,2.125094155903805,5.19176572173945,0.23486616082746964,0.7834322353070861,0
Mission,2019,14734,1562,5956,22486.0,691212.0,10773.0,0.8657755499860763,13.446201857432392,2.0872551749744734,54431.0,115671.0,282593.0,12784.0,42643.0,132124.69864219974,11.791501442316198,270.6913339824732,28.696882291341332,109.4229391339494,2.125094155903805,5.19176572173945,0.23486616082746964,0.7834322353070861,0
Mission,2020,11042,1174,4849,22442.0,729316.0,10797.0,0.8663517643789942,13.49986238757714,2.078540335278318,54431.0,115671.0,282593.0,12784.0,42643.0,137665.57316195,11.832582640109978,202.86233947566646,21.56859142767908,89.08526391210891,2.125094155903805,5.19176572173945,0.23486616082746964,0.7834322353070861,0
Mission,2021,11589,1455,5439,22608.0,748688.0,10845.0,0.8680497925311204,13.526077620308842,2.0846473029045645,54431.0,115671.0,282593.0,12784.0,42643.0,145054.70139852274,11.88486620128573,212.91175984273667,26.731090738733442,99.92467527695614,2.125094155903805,5.19176572173945,0.23486616082746964,0.7834322353070861,0
Mission,2022,12481,1545,6002,23012.0,791887.5,10898.0,0.8704349421912277,13.582174615252606,2.111580106441549,54431.0,115671.0,282593.0,12784.0,42643.0,152405.94910039724,11.93430295756464,229.29948007569214,28.38456026896438,110.2680457827341,2.125094155903805,5.19176572173945,0.23486616082746964,0.7834322353070861,0
Mission,2023,12767,1611,5556,23447.0,826761.5,10958.0,0.8714181419967147,13.625271540635413,2.1397152765103122,54431.0,115671.0,282593.0,12784.0,42643.0,150664.83488881675,11.922813012254764,234.55383880509268,29.59710459113373,102.07418566625637,2.125094155903805,5.19176572173945,0.23486616082746964,0.7834322353070861,0
Mission Bay,2018,2804,207,1412,3779.0,860428.0,3657.0,0.9412086409625376,13.665185218849455,1.0333606781514904,16710.0,25777.0,65499.0,0.0,31652.0,156649.17674022657,11.961764040957824,167.80371035308198,12.387791741472173,84.50029922202273,1.5426092160383005,3.9197486535008976,0.0,1.8941950927588271,0
Mission Bay,2019,2422,195,1071,3781.0,930348.0,3660.0,0.9407103825136612,13.74331398868488,1.0330601092896174,16710.0,25777.0,65499.0,0.0,31652.0,165216.02134420528,12.015009116869066,144.94314781567925,11.669658886894075,64.09335727109514,1.5426092160383005,3.9197486535008976,0.0,1.8941950927588271,0
Mission Bay,2020,2201,198,996,3781.0,960032.0,3659.0,0.9406941787373599,13.77472189622181,1.0333424432905165,16710.0,25777.0,65499.0,0.0,31652.0,160469.0,11.98585605647959,131.7175344105326,11.8491921005386,59.605026929982046,1.5426092160383005,3.9197486535008976,0.0,1.8941950927588271,0
Mission Bay,2021,2458,196,1153,3783.0,965210.5,3676.0,0.9366158868335147,13.780101491248232,1.029107725788901,16710.0,25777.0,65499.0,0.0,31652.0,170536.0,12.046701697113031,147.09754637941353,11.72950329144225,69.00059844404548,1.5426092160383005,3.9197486535008976,0.0,1.8941950927588271,0
Mission Bay,2022,2304,224,1027,4439.0,985174.0,3684.0,0.9340390879478827,13.800573554299689,1.2049402823018458,16710.0,25777.0,65499.0,0.0,31652.0,183507.0,12.120008092888144,137.8815080789946,13.405146618791143,61.460203470975465,1.5426092160383005,3.9197486535008976,0.0,1.8941950927588271,0
Mission Bay,2023,2203,222,937,4504.0,997588.0,3805.0,0.9377135348226019,13.81309564440633,1.1837056504599213,16710.0,25777.0,65499.0,0.0,31652.0,209083.0,12.250486581298627,131.83722321962895,13.285457809694794,56.07420706163973,1.5426092160383005,3.9197486535008976,0.0,1.8941950927588271,0
Nob Hill,2018,3753,270,2158,23880.0,433500.0,6069.0,0.6178942165101334,12.979647075202733,3.93475037073653,23526.0,58633.0,125256.0,5305.0,40842.0,112959.5945289396,11.63478546321053,159.52563121652642,11.476664116296863,91.72830060358753,2.492263878262348,5.324152002040296,0.22549519680353652,1.736036725325172,1
Nob Hill,2019,4103,306,2301,23898.0,468735.5,6210.0,0.6265700483091787,13.057793922454978,3.8483091787439614,23526.0,58633.0,125256.0,5305.0,40842.0,126841.0301327339,11.7506898501325,174.40278840431864,13.006885998469778,97.8066819688855,2.492263878262348,5.324152002040296,0.22549519680353652,1.736036725325172,1
Nob Hill,2020,3312,214,1823,23896.0,498828.5,6256.0,0.629156010230179,13.120017628284865,3.819693094629156,23526.0,58633.0,125256.0,5305.0,40842.0,126401.36808017454,11.747217584055424,140.7804131599082,9.096318966250108,77.48873586670068,2.492263878262348,5.324152002040296,0.22549519680353652,1.736036725325172,1
Nob Hill,2021,3390,277,1814,23832.0,511048.5,6254.0,0.6293572113847138,13.144219776619366,3.810681164055005,23526.0,58633.0,125256.0,5305.0,40842.0,133077.5421085038,11.798687260684005,144.09589390461616,11.774207260052707,77.10618039615744,2.492263878262348,5.324152002040296,0.22549519680353652,1.736036725325172,1
Nob Hill,2022,3514,339,1921,22366.0,536763.5,6296.0,0.6343710292249047,13.193312866798747,3.5524142312579414,23526.0,58633.0,125256.0,5305.0,40842.0,141636.79180431573,11.861021255618539,149.366658165434,14.409589390461617,81.6543398792825,2.492263878262348,5.324152002040296,0.22549519680353652,1.736036725325172,1
Nob Hill,2023,3411,364,1741,22270.0,557552.0,6305.0,0.6352101506740682,13.231311051509305,3.5321173671689134,23526.0,58633.0,125256.0,5305.0,40842.0,145718.80332010103,11.889434038901715,144.98852333588368,15.47224347530392,74.00323046841793,2.492263878262348,5.324152002040296,0.22549519680353652,1.736036725325172,1
Noe Valley,2018,1233,65,790,11400.0,720035.5,7156.0,0.9863051984348798,13.487055795332315,1.593068753493572,23334.0,72008.0,113289.0,865.0,18599.0,,,52.84134739007457,2.7856346961515386,33.85617553784177,3.0859689723150767,4.855104139881718,0.03707036941801663,0.797077226364961,0
Noe Valley,2019,1273,49,796,11405.0,778431.0,7163.0,0.9860393689794779,13.565035634343557,1.5922099678905486,23334.0,72008.0,113289.0,865.0,18599.0,,,54.55558412616782,2.0999400017142364,34.11331104825576,3.0859689723150767,4.855104139881718,0.03707036941801663,0.797077226364961,0
Noe Valley,2020,1384,42,941,11388.0,833165.0,7178.0,0.9859292281972695,13.63298698076557,1.5865143494009473,23334.0,72008.0,113289.0,865.0,18599.0,,,59.3125910688266,1.7999485728979172,40.32741921659381,3.0859689723150767,4.855104139881718,0.03707036941801663,0.797077226364961,0
Noe Valley,2021,1518,75,1039,11371.0,864028.0,7187.0,0.9859468484764158,13.66936045466849,1.5821622373730346,23334.0,72008.0,113289.0,865.0,18599.0,,,65.055284134739,3.214193880174852,44.527299220022286,3.0859689723150767,4.855104139881718,0.03707036941801663,0.797077226364961,0
Noe Valley,2022,1468,51,974,11379.0,921221.0,7199.0,0.985831365467426,13.733455243021417,1.580636199472149,23334.0,72008.0,113289.0,865.0,18599.0,,,62.912488214622435,2.1856518385188997,41.741664523870746,3.0859689723150767,4.855104139881718,0.03707036941801663,0.797077226364961,0
Noe Valley,2023,1425,72,950,11379.0,976221.0,7196.0,0.9870761534185659,13.791444274189054,1.5812951639799888,23334.0,72008.0,113289.0,865.0,18599.0,,,61.06968372332219,3.0856261249678583,40.71312248221479,3.0859689723150767,4.855104139881718,0.03707036941801663,0.797077226364961,0
North Beach,2018,4982,240,3214,8051.0,725430.0,2539.0,0.897597479322568,13.494519861468753,3.1709334383615597,11497.0,25164.0,55809.0,0.0,21523.0,31126.078396035144,10.34580128042898,433.3304340262677,20.875010872401496,279.5511872662434,2.188744889971297,4.854222840741063,0.0,1.8720535791945725,0
North Beach,2019,4086,231,2576,8057.0,766749.0,2538.0,0.8975571315996848,13.549914777769583,3.174546887312845,11497.0,25164.0,55809.0,0.0,21523.0,39822.05113066726,10.59217608635355,355.39706010263546,20.09219796468644,224.0584500304427,2.188744889971297,4.854222840741063,0.0,1.8720535791945725,0
North Beach,2020,2449,168,1483,8057.0,796586.0,2539.0,0.897597479322568,13.588090374882801,3.173296573454116,11497.0,25164.0,55809.0,0.0,21523.0,65703.0,11.092899865530676,213.0120901104636,14.612507610681048,128.99017134904759,2.188744889971297,4.854222840741063,0.0,1.8720535791945725,0
North Beach,2021,4719,252,3204,8054.0,813669.0,2542.0,0.8977183320220299,13.609308928380058,3.1683713611329662,11497.0,25164.0,55809.0,0.0,21523.0,68235.0,11.130712908672214,410.45490127859443,21.91876141602157,278.68139514655996,2.188744889971297,4.854222840741063,0.0,1.8720535791945725,0
North Beach,2022,4764,245,3397,8163.0,850000.0,2557.0,0.8932342588971451,13.652991628466498,3.1924129839655846,11497.0,25164.0,55809.0,0.0,21523.0,58060.0,10.969232237578622,414.3689658171697,21.30990693224319,295.4683830564495,2.188744889971297,4.854222840741063,0.0,1.8720535791945725,0
North Beach,2023,4102,219,2884,8162.0,877999.0,2556.0,0.8939749608763693,13.68540073366444,3.1932707355242567,11497.0,25164.0,55809.0,0.0,21523.0,86111.0,11.363392440675852,356.78872749412886,19.048447421066367,250.8480473166913,2.188744889971297,4.854222840741063,0.0,1.8720535791945725,0
Oceanview/Merced/Ingleside,2018,1504,156,745,7514.0,385902.5,6652.0,0.9706855081178593,12.863340025866995,1.129585087191822,24770.0,17410.0,129734.0,10868.0,75245.0,,,60.71861122325394,6.297941057731126,30.076705692369803,0.7028663706096084,5.237545417844166,0.43875656035526844,3.03774727492935,0
Oceanview/Merced/Ingleside,2019,1292,175,609,7515.0,408438.0,6653.0,0.9709905305877048,12.920095406977435,1.129565609499474,24770.0,17410.0,129734.0,10868.0,75245.0,,,52.15987081146548,7.064997981429148,24.586192975373436,0.7028663706096084,5.237545417844166,0.43875656035526844,3.03774727492935,0
Oceanview/Merced/Ingleside,2020,1146,101,610,7515.0,429115.0,6655.0,0.9708489857250188,12.969480227255145,1.1292261457550714,24770.0,17410.0,129734.0,10868.0,75245.0,,,46.26564392410174,4.077513120710536,24.626564392410174,0.7028663706096084,5.237545417844166,0.43875656035526844,3.03774727492935,0
Oceanview/Merced/Ingleside,2021,1377,143,716,7511.0,442663.0,6653.0,0.9709905305877048,13.00056403718357,1.1289643769727942,24770.0,17410.0,129734.0,10868.0,75245.0,,,55.59144125958821,5.773112636253533,28.905934598304402,0.7028663706096084,5.237545417844166,0.43875656035526844,3.03774727492935,0
Oceanview/Merced/Ingleside,2022,1417,139,794,7520.0,465581.0,6652.0,0.9714371617558629,13.051041367006576,1.1304870715574264,24770.0,17410.0,129734.0,10868.0,75245.0,,,57.20629794105773,5.611626968106581,32.05490512716997,0.7028663706096084,5.237545417844166,0.43875656035526844,3.03774727492935,0
Oceanview/Merced/Ingleside,2023,1339,120,804,7525.0,489029.0,6644.0,0.9724563515954244,13.100177071402031,1.1326008428657435,24770.0,17410.0,129734.0,10868.0,75245.0,,,54.057327412192166,4.844570044408559,32.458619297537346,0.7028663706096084,5.237545417844166,0.43875656035526844,3.03774727492935,0
Outer Mission,2018,1851,199,771,5916.0,389947.0,5251.0,0.9565796991049323,12.873766111435039,1.1266425442772805,21717.0,14673.0,115308.0,0.0,65995.0,,,85.23276695676199,9.163328268177006,35.50214117972095,0.6756458074319658,5.30957314546208,0.0,3.038863563107243,0
Outer Mission,2019,1817,190,737,5987.0,411672.0,5251.0,0.9569605789373453,12.92798219475777,1.1401637783279375,21717.0,14673.0,115308.0,0.0,65995.0,,,83.66717318229958,8.748906386701663,33.93654740525855,0.6756458074319658,5.30957314546208,0.0,3.038863563107243,0
Outer Mission,2020,1738,155,904,5985.0,428563.5,5252.0,0.956968773800457,12.968194197405943,1.1395658796648895,21717.0,14673.0,115308.0,0.0,65995.0,,,80.02947000046046,7.137265736519777,41.62637565041212,0.6756458074319658,5.30957314546208,0.0,3.038863563107243,0
Outer Mission,2021,1776,153,900,5983.0,441722.0,5249.0,0.9575157172794818,12.998436003905956,1.139836159268432,21717.0,14673.0,115308.0,0.0,65995.0,,,81.77925127780081,7.045171985080812,41.44218814753419,0.6756458074319658,5.30957314546208,0.0,3.038863563107243,0
Outer Mission,2022,1649,179,803,5987.0,459529.0,5245.0,0.9584366062917064,13.03795733086474,1.1414680648236415,21717.0,14673.0,115308.0,0.0,65995.0,,,75.93129806142655,8.242390753787356,36.97564120274439,0.6756458074319658,5.30957314546208,0.0,3.038863563107243,0
Outer Mission,2023,1850,200,965,5934.0,482544.5,5236.0,0.9604660045836516,13.086828423487713,1.1333078686019862,21717.0,14673.0,115308.0,0.0,65995.0,,,85.1867200810425,9.209375143896487,44.435235069300546,0.6756458074319658,5.30957314546208,0.0,3.038863563107243,0
Outer Richmond,2018,2562,157,1466,18491.0,551992.0,10367.0,0.9710620237291405,13.221288832400589,1.783640397414874,44049.0,92395.0,224027.0,3653.0,95927.0,,,58.162500851324666,3.564212581443393,33.281118754114736,2.0975504551749187,5.085858929828146,0.08293037299371155,2.1777338872619127,0
Outer Richmond,2019,2939,168,1854,18495.0,580461.0,10459.0,0.9667272205755808,13.271577894400641,1.7683334926857253,44049.0,92395.0,224027.0,3653.0,95927.0,,,66.72115144498173,3.813934482054076,42.08949124838248,2.0975504551749187,5.085858929828146,0.08293037299371155,2.1777338872619127,0
Outer Richmond,2020,2616,131,1632,18481.0,610836.0,10471.0,0.9665743481997899,13.32258378968604,1.76496991691338,44049.0,92395.0,224027.0,3653.0,95927.0,,,59.38840836341347,2.973960816363595,37.0496492542396,2.0975504551749187,5.085858929828146,0.08293037299371155,2.1777338872619127,0
Outer Richmond,2021,2599,168,1581,18395.0,636849.0,10488.0,0.9668192219679634,13.364287857788204,1.7539092295957284,44049.0,92395.0,224027.0,3653.0,95927.0,,,59.002474517015145,3.813934482054076,35.89184771504461,2.0975504551749187,5.085858929828146,0.08293037299371155,2.1777338872619127,0
Outer Richmond,2022,2657,195,1640,18436.0,670101.0,10499.0,0.9668539860939137,13.415183726274728,1.755976759691399,44049.0,92395.0,224027.0,3653.0,95927.0,,,60.31918999296238,4.426888238098481,37.23126518195646,2.0975504551749187,5.085858929828146,0.08293037299371155,2.1777338872619127,0
Outer Richmond,2023,2463,163,1500,18443.0,715461.0,10491.0,0.9683538270898866,13.480682369155538,1.7579830330759698,44049.0,92395.0,224027.0,3653.0,95927.0,,,55.91500374582851,3.7004245272310383,34.0529864469114,2.0975504551749187,5.085858929828146,0.08293037299371155,2.1777338872619127,0
Pacific Heights,2018,2204,103,1400,14499.0,1038994.5,6154.0,0.9613259668508287,13.853763976515861,2.356028599285018,22976.0,75483.0,113478.0,756.0,20846.0,166678.51799948572,12.02382219420508,95.92618384401113,4.482938718662953,60.93314763231198,3.285297701949861,4.938979805013927,0.03290389972144847,0.9072945682451253,0
Pacific Heights,2019,2390,87,1612,14517.0,1104842.0,6158.0,0.9613510880155894,13.915212896285118,2.357421240662553,22976.0,75483.0,113478.0,756.0,20846.0,181732.6255073982,12.110291795268575,104.02158774373258,3.7865598885793874,70.16016713091922,3.285297701949861,4.938979805013927,0.03290389972144847,0.9072945682451253,0
Pacific Heights,2020,2348,80,1598,14502.0,1173771.5,6174.0,0.9614512471655329,13.975732626695741,2.3488824101068997,22976.0,75483.0,113478.0,756.0,20846.0,163544.29324418202,12.004839139323098,102.19359331476323,3.481894150417827,69.5508356545961,3.285297701949861,4.938979805013927,0.03290389972144847,0.9072945682451253,0
Pacific Heights,2021,2328,95,1565,14478.0,1202238.0,6174.0,0.9619371558147068,13.999695377805006,2.3449951409135084,22976.0,75483.0,113478.0,756.0,20846.0,178547.56445381104,12.092610312234017,101.32311977715877,4.13474930362117,68.11455431754875,3.285297701949861,4.938979805013927,0.03290389972144847,0.9072945682451253,0
Pacific Heights,2022,2147,105,1429,14349.0,1275000.0,6180.0,0.9626213592233009,14.058456736574664,2.321844660194175,22976.0,75483.0,113478.0,756.0,20846.0,184301.81976417743,12.124330017533083,93.44533426183844,4.569986072423399,62.19533426183844,3.285297701949861,4.938979805013927,0.03290389972144847,0.9072945682451253,0
Pacific Heights,2023,2277,119,1415,14370.0,1326510.0,6180.0,0.9627831715210357,14.098061991167024,2.325242718446602,22976.0,75483.0,113478.0,756.0,20846.0,188725.93275779375,12.148051150413382,99.10341225626742,5.179317548746518,61.58600278551532,3.285297701949861,4.938979805013927,0.03290389972144847,0.9072945682451253,0
